"id","name","datetime","venue_id","photo_url"
1,Taylor Swift,2023-04-13 20:00:00.000 -0400,1,https://images.squarespace-cdn.com/content/v1/5e3c5c5170ff61486283fb3b/1669822958881-WXSZSSBBKINI4D0ED6F6/TS23_Outdoor_1400x400_0413-0414-0415_TampaFL_OSN.jpg?format=2500w
3,Styx,2023-04-17 19:00:00.000 -0400,3,https://www.rutheckerdhall.com/assets/img/1440x720-68-5a3537d10d.jpg
2,Skinny Puppy,2023-04-11 20:00:00.000 -0400,2,https://www.jannuslive.com/wp-content/uploads/2023/02/Screenshot-2023-02-06-114848.png
4,To Kill A Mockingbird,2023-04-11 20:00:00.000 -0400,4,https://www.strazcenter.org/media/snel3aeh/tkam.jpg
